0000031455 0000000011 05 1 1
0000031545 0000000090 06 1 1
0000031563 0000000018 07 1 1
0000031671 0000000108 08 1 1
0000031714 0000000043 09 1 1
0000031737 0000000023 10 1 1
0000031836 0000000099 11 1 1
0000031974 0000000138 12 1 1
0000032055 0000000081 13 1 1
0000032089 0000000034 14 1 1
0000032168 0000000079 15 1 1
0000032275 0000000107 16 1 1
0000032660 0000000385 01 0 1
0000032668 0000000008 02 1 1
0000033179 0000000511 01 0 0
0000033558 0000000379 01 0 0
0000034337 0000000779 01 0 0
0000034514 0000000177 01 0 1
0000034671 0000000157 02 1 1
0000034701 0000000030 03 1 1
0000034804 0000000103 04 1 1
0000035916 0000001112 01 0 1
0000036002 0000000086 02 1 1
0000036101 0000000099 03 1 1
0000036158 0000000057 04 1 1
0000036215 0000000057 05 1 1
0000036491 0000000276 01 0 1
0000036615 0000000124 02 1 1
0000036712 0000000097 03 1 1
0000037051 0000000339 01 0 0
0000037543 0000000492 01 0 0
0000037967 0000000424 01 0 1
0000038261 0000000294 01 0 0
0000038482 0000000221 01 0 0
0000038585 0000000103 01 3 1
0000038629 0000000044 02 1 1
0000038637 0000000008 03 1 1
0000038703 0000000066 04 1 1
0000038883 0000000180 05 1 1
0000038919 0000000036 06 1 1
0000039007 0000000088 07 1 1
0000039160 0000000153 08 1 1
0000039183 0000000023 09 1 1
0000039224 0000000041 10 1 1
0000039290 0000000066 11 1 1
0000039469 0000000179 12 1 1
0000039476 0000000007 13 1 1
0000039571 0000000095 14 1 1
0000039701 0000000130 15 1 1
0000040143 0000000442 01 0 1
0000040811 0000000668 01 0 0
0000041201 0000000390 01 0 1
0000041209 0000000008 02 1 1
0000041240 0000000031 03 1 1
0000041691 0000000451 01 0 1
0000042172 0000000481 01 0 1
0000042180 0000000008 02 1 1
0000042183 0000000003 03 1 1
0000042267 0000000084 04 1 1
0000042272 0000000005 05 1 1
0000042721 0000000449 01 0 0
0000043056 0000000335 01 0 1
0000043184 0000000128 02 1 1
0000043250 0000000066 03 1 1
0000043382 0000000132 04 1 1
0000043772 0000000390 01 0 1
0000043838 0000000066 02 1 1
0000043912 0000000074 03 1 1
0000044025 0000000113 04 1 1
0000044045 0000000020 05 1 1
0000044055 0000000010 06 1 1
0000044066 0000000011 07 1 1
0000044381 0000000315 01 0 1
0000045391 0000001010 01 0 1
0000045537 0000000146 02 1 1
0000045673 0000000136 03 1 1
0000045836 0000000163 04 1 1
0000045934 0000000098 05 1 1
0000046045 0000000111 06 1 1
0000046147 0000000102 07 1 1
0000046976 0000000829 01 0 0
0000047423 0000000447 01 0 0
0000047466 0000000043 02 2 1
0000047493 0000000027 03 1 1
0000047530 0000000037 04 1 1
0000047847 0000000317 01 0 0
0000048061 0000000214 01 0 1
0000048160 0000000099 02 1 1
0000048189 0000000029 03 1 1
0000048395 0000000206 01 0 1
0000048541 0000000146 02 1 1
0000048554 0000000013 03 1 1
0000048716 0000000162 04 1 1
0000049739 0000001023 01 0 1
0000050639 0000000900 01 0 0
0000050907 0000000268 01 0 1
0000051044 0000000137 02 1 1
0000051693 0000000649 01 0 1
0000052118 0000000425 01 0 1
0000053634 0000001516 01 0 0
0000053709 0000000075 02 2 1
0000053776 0000000067 03 1 1
0000053819 0000000043 04 1 1
0000053839 0000000020 05 1 1
0000053942 0000000103 06 1 1
0000053986 0000000044 07 1 1
